[PATIENT_ID STAFF_ID  QUERY_START_TIME  QUERY_END_TIME]
100 1 0 2499
100 1 2500 4999
100 1 5000 7499
100 1 7500 10000
100 2 0 2499
100 2 2500 4999
100 2 5000 7499
100 2 7500 10000
100 3 0 2499
100 3 2500 4999
100 3 5000 7499
100 3 7500 10000
200 1 0 2499
200 1 2500 4999
200 1 5000 7499
200 1 7500 10000
200 2 0 2499
200 2 2500 4999
200 2 5000 7499
200 2 7500 10000
200 3 0 2499
200 3 2500 4999
200 3 5000 7499
200 3 7500 10000
300 1 0 2499
300 1 2500 4999
300 1 5000 7499
300 1 7500 10000
300 2 0 2499
300 2 2500 4999
300 2 5000 7499
300 2 7500 10000
300 3 0 2499
300 3 2500 4999
300 3 5000 7499
300 3 7500 10000
